ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG
632,MIÑO - SIL,PRADA,122.0,1
638,DUERO,RIANO,664.0,0
639,DUERO,VILLAGONZALO,6.0,0
640,DUERO,VALPARAISO,169.0,1
641,TAJO,ALCORLO,180.0,0
644,TAJO,NAVALCAN,34.0,0
645,TAJO,LA TAJERA,70.0,0
646,JÚCAR,ALARCON,1118.0,0
648,EBRO,BACHIMANA (LAGO),7.0,0
649,EBRO,ALCANIZ (ESTANCA),7.0,0
650,EBRO,MAIDEVERA,21.0,0
653,CUENCAS INTERNAS DE CATALUÑA,SUSQUEDA,233.0,0
654,GALICIA COSTA,BARRIE DE LA MAZA,31.0,1
656,GALICIA COSTA,EIRAS,22.0,0
657,EBRO,TREMP O TALARN,227.0,1
658,GUADALQUIVIR,COLOMERA,42.0,0
659,GUADALQUIVIR,GERGAL,36.0,0
660,GUADALQUIVIR,LA MINILLA,60.0,0
665,GUADALQUIVIR,YEGUAS,229.0,0
669,GUADIANA,CORNALBO,11.0,0
670,GUADIANA,CIJARA,1505.0,0
672,GUADIANA,LA COLADA,58.0,0
673,GUADIANA,NOGALES,18.0,0
674,GUADIANA,PROSERPINA,5.0,0
676,MIÑO - SIL,SAN SEBASTIAN,46.0,1
677,DUERO,PORMA-(JUAN BENET),318.0,0
678,DUERO,SAUCELLE,181.0,1
679,DUERO,SANTA TERESA,496.0,0
680,TAJO,ALMOGUERA,7.0,1
681,TAJO,GUAJARAZ,18.0,0
683,SEGURA,CENAJO,472.0,0
685,JÚCAR,TOUS - LA RIBERA,379.0,0
687,EBRO,MEDIANO,436.0,0
688,EBRO,LECHAGO,18.0,0
690,EBRO,RIBARROJA,210.0,1
692,EBRO,TORT (LAGO),7.0,1
693,GUADALQUIVIR,ALCALA DEL RIO,21.0,1
695,GUADALQUIVIR,GUADALMELLATO,162.0,0
704,CUENCA MEDITERRÁNEA ANDALUZA,CASASOLA,23.0,0
714,TINTO. ODIEL Y PIEDRAS,ODIEL,8.0,0
715,MIÑO - SIL,BAO,238.0,1
716,MIÑO - SIL,ESTEVO SAN,213.0,1
719,DUERO,COMPUERTO,95.0,0
721,DUERO,REQUEJADA,66.0,0
722,TAJO,BORBOLLON,88.0,0
724,TAJO,CAZALEGAS,11.0,0
725,TAJO,CASTREJON,44.0,1
727,TAJO,CEDILLO,260.0,1
729,TAJO,RIOSEQUILLO,50.0,0
730,TAJO,PORTAJE,23.0,0
731,TAJO,TORCON,7.0,0
733,JÚCAR,ALGAR,6.0,0
734,JÚCAR,AMADORIO,16.0,0
735,JÚCAR,BELLUS,69.0,0
739,EBRO,LAVERNE,38.0,0
741,EBRO,PENA,19.0,0
743,EBRO,SANTA MARIA DE BELSUE,14.0,0
744,GALICIA COSTA,VILLAGUDIN,18.0,0
